hi	مرحبًا
run	اركض
duck	اخفض رأسك
duck	اخفضي رأسك
duck	اخفضوا رؤوسكم
help	النجدة
jump	اقفز
stop	قف
stop	توقف 
wait	إنتظر
go on	داوم
go on	استمر
hello	مرحباً
hurry	تعجّل
hurry	استعجل
i see	انا اري
i won	أنا فُزت
relax	استرح
smile	ابتسم
cheers	في صحتك
got it	هل فهمت؟
he ran	ركض
i know	أعرف
i know	أعلم ذلك
i know	أنا أعلم
im	أنا في 19
im ok	أنا بخير
listen	استمع
no way	غير معقول
really	حقاً؟
thanks	شكراً
thanks	شكرا
why me	لماذا أنا؟
awesome	رائع
be cool	خذ راحتك
beat it	أغرب عن وجهي
call me	هاتفني
call me	اتصل بي
come in	تفضل بالدخول
come in	تعال إلى الداخل
come on	بالله عليك
come on	هيا
come on	هيّا
get out	اخرج من هنا
get out	أُخرج
get out	اخرج
go away	اتركني و شأني
go away	اذهب بعيداً
go away	ارحل
goodbye	مع السلامة
goodbye	إلى اللقاء
hang on	إنتظر
he came	لقد أتى
he runs	هو يجري
help me	ساعدني
help me	النجدة ساعدني
help me	ساعدوني
hold on	انتظر
i agree	أنا موافق
im sad	أنا حزين
me too	أنا أيضاً
shut up	اخرس
shut up	اصمت
shut up	اسكت
shut up	أغلق فمك
stop it	أوقفه
take it	خذه
tell me	أخبرني
tom won	توم فاز
tom won	لقد ربح توم
wake up	استيقظ
welcome	أهلاً و سهلاً
welcome	مرحباً بك
welcome	اهلا وسهلا
welcome	مرحبا
who won	من فاز؟
who won	من الذي ربح؟
why not	لم لا؟
why not	لما لا؟
beats me	لا فكرة لدي
have fun	استمتع بوقتك
hurry up	أسرعا
i forgot	لقد نسيت
i got it	فهمتُهُ
i got it	فهمتُها
i got it	فَهمتُ ذلك
i use it	أستخدمه
ill pay	سأدفع أنا
im busy	أنا مشغول
im busy	إنني مشغول
im cold	أشعر بالبرد
im free	أنا حُرّ
im here	أنا هنا
im home	لقد عدت إلى البيت
im poor	أنا فقير
im rich	أنا ثري
it hurts	هذا مؤلم
its dry	انها جافه
its hot	الجو حار
its new	إنه جديد
lets go	هيا بنا
lets go	هيا لنذهب
lets go	لنذهب
lets go	هيا بنا
lets go	هيا بنا نذهب
look out	اِنتبه
look out	إحذر
look out	انتبه
speak up	تكلم
stand up	قف
terrific	رائع
terrific	ممتاز
tom died	توم مات
tom died	توفي توم
tom left	لقد غادر توم
tom lied	لقد كذِبَ توم
tom lost	لقد خَسِرَ توم
